Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
7z,solverBased,0.329,1.0,1.0
7z,solverBased,0.33,1.0,1.0
7z,solverBased,0.331,1.0,1.0
7z,solverBased,0.332,1.0,1.0
7z,solverBased,0.333,1.0,1.0
7z,solverBased,0.334,1.0,1.0
7z,solverBased,0.335,1.0,1.0
7z,solverBased,0.336,1.0,1.0
7z,solverBased,0.337,1.0,1.0
7z,solverBased,0.338,1.0,1.0
7z,solverBased,0.339,1.0,1.0
7z,solverBased,0.34,1.0,1.0
7z,solverBased,0.341,1.0,1.0
7z,solverBased,0.342,1.0,1.0
7z,solverBased,0.343,1.0,1.0
7z,solverBased,0.344,1.0,1.0
7z,solverBased,0.345,1.0,1.0
7z,solverBased,0.346,1.0,1.0
7z,solverBased,0.347,1.0,1.0
7z,solverBased,0.348,1.0,1.0
7z,solverBased,0.349,1.0,1.0
7z,solverBased,0.35,1.0,1.0
7z,solverBased,0.351,1.0,1.0
7z,solverBased,0.352,1.0,1.0
7z,solverBased,0.353,1.0,1.0
7z,solverBased,0.354,1.0,1.0
7z,solverBased,0.355,1.0,1.0
7z,solverBased,0.356,1.0,1.0
7z,solverBased,0.357,1.0,1.0
7z,solverBased,0.358,1.0,1.0
7z,solverBased,0.359,1.0,1.0
7z,solverBased,0.36,1.0,1.0
7z,solverBased,0.361,1.0,1.0
7z,solverBased,0.362,1.0,1.0
7z,solverBased,0.363,1.0,1.0
7z,solverBased,0.364,1.0,1.0
7z,solverBased,0.365,1.0,1.0
7z,solverBased,0.366,1.0,1.0
7z,solverBased,0.367,1.0,1.0
7z,solverBased,0.368,1.0,1.0
7z,solverBased,0.369,1.0,1.0
7z,solverBased,0.37,1.0,1.0
7z,solverBased,0.371,1.0,1.0
7z,solverBased,0.372,1.0,1.0
7z,solverBased,0.373,1.0,1.0
7z,solverBased,0.374,1.0,1.0
7z,solverBased,0.375,1.0,1.0
7z,solverBased,0.376,1.0,1.0
7z,solverBased,0.377,1.0,1.0
7z,solverBased,0.378,1.0,1.0
7z,solverBased,0.379,1.0,1.0
7z,solverBased,0.38,1.0,1.0
7z,solverBased,0.381,1.0,1.0
7z,solverBased,0.382,1.0,1.0
7z,solverBased,0.383,1.0,1.0
7z,solverBased,0.384,1.0,1.0
7z,solverBased,0.385,1.0,1.0
7z,solverBased,0.386,1.0,1.0
7z,solverBased,0.387,1.0,1.0
7z,solverBased,0.388,1.0,1.0
7z,solverBased,0.389,1.0,1.0
7z,solverBased,0.39,1.0,1.0
7z,solverBased,0.391,1.0,1.0
7z,solverBased,0.392,1.0,1.0
7z,solverBased,0.393,1.0,1.0
7z,solverBased,0.394,1.0,1.0
7z,solverBased,0.395,1.0,1.0
7z,solverBased,0.396,1.0,1.0
