Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
Polly,solverBased,0.433,0.9,0.9998858886240024
Polly,solverBased,0.434,0.9,0.9998890664530952
Polly,solverBased,0.435,0.9,0.9998921611705506
Polly,solverBased,0.436,0.9,0.9998951748086772
Polly,solverBased,0.437,0.9,0.9998981093535568
Polly,solverBased,0.438,0.9,0.9999009667460173
Polly,solverBased,0.439,0.9,0.9999037488825844
Polly,solverBased,0.44,0.9,0.9999064576164188
Polly,solverBased,0.441,0.9,0.9999090947582324
Polly,solverBased,0.442,0.9,0.9999116620771862
Polly,solverBased,0.443,0.9,0.999914161301774
Polly,solverBased,0.444,0.9,0.9999165941206852
Polly,solverBased,0.445,0.9,0.999918962183654
Polly,solverBased,0.446,0.9,0.9999212671022882
Polly,solverBased,0.447,0.9,0.9999235104508865
Polly,solverBased,0.448,0.9,0.9999256937672348
Polly,solverBased,0.449,0.9,0.9999278185533912
Polly,solverBased,0.45,0.9,0.9999298862764532
Polly,solverBased,0.451,0.9,0.9999318983693092
Polly,solverBased,0.452,0.9,0.9999338562313766
Polly,solverBased,0.453,0.9,0.9999357612293258
Polly,solverBased,0.454,0.9,0.9999376146977872
Polly,solverBased,0.455,0.9,0.9999394179400471
Polly,solverBased,0.456,0.9,0.9999411722287282
Polly,solverBased,0.457,0.9,0.999942878806456
Polly,solverBased,0.458,0.9,0.999944538886513
Polly,solverBased,0.459,0.9,0.9999461536534806
Polly,solverBased,0.46,0.9,0.9999477242638652
Polly,solverBased,0.461,0.9,0.9999492518467148
Polly,solverBased,0.462,0.9,0.9999507375042208
Polly,solverBased,0.463,0.9,0.9999521823123108
Polly,solverBased,0.464,0.9,0.9999535873212244
Polly,solverBased,0.465,0.9,0.9999549535560828
Polly,solverBased,0.466,0.9,0.9999562820174432
Polly,solverBased,0.467,0.9,0.999957573681844
Polly,solverBased,0.468,0.9,0.9999588295023368
Polly,solverBased,0.469,0.9,0.9999600504090096
Polly,solverBased,0.47,0.9,0.9999612373094988
Polly,solverBased,0.471,0.9,0.9999623910894896
Polly,solverBased,0.472,0.9,0.999963512613207
Polly,solverBased,0.473,0.9,0.999964602723898
Polly,solverBased,0.474,0.9,0.9999656622443004
Polly,solverBased,0.475,0.9,0.999966691977106
Polly,solverBased,0.476,0.9,0.9999676927054114
Polly,solverBased,0.477,0.9,0.9999686651931604
Polly,solverBased,0.478,0.9,0.9999696101855776
Polly,solverBased,0.479,0.9,0.9999705284095922
Polly,solverBased,0.48,0.9,0.9999714205742536
Polly,solverBased,0.481,0.9,0.9999722873711376
Polly,solverBased,0.482,0.9,0.999973129474746
Polly,solverBased,0.483,0.9,0.9999739475428954
Polly,solverBased,0.484,0.9,0.9999747422170984
Polly,solverBased,0.485,0.9,0.9999755141229384
Polly,solverBased,0.486,0.9,0.9999762638704356
Polly,solverBased,0.487,0.9,0.9999769920544036
Polly,solverBased,0.488,0.9,0.9999776992548016
Polly,solverBased,0.489,0.9,0.999978386037076
Polly,solverBased,0.49,0.9,0.999979052952498
Polly,solverBased,0.491,0.9,0.9999797005384908
Polly,solverBased,0.492,0.9,0.9999803293189518
Polly,solverBased,0.493,0.9,0.9999809398045676
Polly,solverBased,0.494,0.9,0.9999815324931222
Polly,solverBased,0.495,0.9,0.999982107869798
Polly,solverBased,0.496,0.9,0.9999826664074712
Polly,solverBased,0.497,0.9,0.9999832085670004
Polly,solverBased,0.498,0.9,0.9999837347975092
Polly,solverBased,0.499,0.9,0.9999842455366628
Polly,solverBased,0.5,0.9,0.9999847412109376
Polly,solverBased,0.501,0.9,0.999985222235886
Polly,solverBased,0.502,0.9,0.9999856890163958
Polly,solverBased,0.503,0.9,0.9999861419469432
Polly,solverBased,0.504,0.9,0.9999865814118398
Polly,solverBased,0.505,0.9,0.9999870077854752
Polly,solverBased,0.506,0.9,0.999987421432554
Polly,solverBased,0.507,0.9,0.999987822708328
Polly,solverBased,0.508,0.9,0.9999882119588216
Polly,solverBased,0.509,0.9,0.9999885895210542
Polly,solverBased,0.51,0.9,0.9999889557232576
Polly,solverBased,0.511,0.92,0.9999893108850868
Polly,solverBased,0.512,0.92,0.9999896553178276
Polly,solverBased,0.513,0.92,0.9999899893246
Polly,solverBased,0.514,0.92,0.9999903132005556
Polly,solverBased,0.515,0.92,0.999990627233071
Polly,solverBased,0.516,0.92,0.9999909317019384
Polly,solverBased,0.517,0.92,0.99999122687955
Polly,solverBased,0.518,0.92,0.9999915130310788
Polly,solverBased,0.519,0.92,0.9999917904146562
Polly,solverBased,0.52,0.92,0.999992059281545
Polly,solverBased,0.521,0.92,0.9999923198763075
Polly,solverBased,0.522,0.92,0.9999925724369716
Polly,solverBased,0.523,0.93,0.9999928171951928
Polly,solverBased,0.524,0.93,0.99999305437641
Polly,solverBased,0.525,0.93,0.9999932842000022
Polly,solverBased,0.526,0.93,0.999993506879438
Polly,solverBased,0.527,0.93,0.999993722622422
Polly,solverBased,0.528,0.93,0.9999939316310414
Polly,solverBased,0.529,0.93,0.9999941341019036
Polly,solverBased,0.53,0.93,0.9999943302262752
Polly,solverBased,0.531,0.93,0.999994520190216
Polly,solverBased,0.532,0.93,0.9999947041747106
Polly,solverBased,0.533,0.93,0.999994882355795
Polly,solverBased,0.534,0.93,0.9999950549046832
Polly,solverBased,0.535,0.93,0.9999952219878888
