Sample Set Size,Max Area,Min Area
1444,0.0007915646008396227,-0.9992084353991604
1445,0.000791086675531405,-0.9992089133244686
1446,0.0007906094103508066,-0.9992093905896492
1447,0.0007901328039308098,-0.9992098671960692
1448,0.0007896568549085048,-0.9992103431450915
1449,0.0007891815619247566,-0.9992108184380752
1450,0.000788706923624094,-0.9992112930763759
1451,0.0007882329386549314,-0.9992117670613451
1452,0.000787759605669125,-0.9992122403943309
1453,0.0007872869233225277,-0.9992127130766775
1454,0.0007868148902744343,-0.9992131851097256
1455,0.0007863435051880252,-0.999213656494812
1456,0.0007858727667300336,-0.99921412723327
1457,0.0007854026735707453,-0.9992145973264293
1458,0.0007849332243843321,-0.9992150667756157
1459,0.0007844644178486293,-0.9992155355821514
1460,0.000783996252644692,-0.9992160037473553
1461,0.000783528727457572,-0.9992164712725424
1462,0.0007830618409756518,-0.9992169381590243
1463,0.0007825955918910887,-0.9992174044081089
1464,0.0007821299788995928,-0.9992178700211004
1465,0.0007816650007003156,-0.9992183349992997
1466,0.0007812006559959617,-0.999218799344004
1467,0.000780736943492899,-0.9992192630565071
1468,0.0007802738619009375,-0.9992197261380991
1469,0.0007798114099333286,-0.9992201885900667
1470,0.0007793495863069877,-0.999220650413693
1471,0.0007788883897420495,-0.999221111610258
1472,0.0007784278189624239,-0.9992215721810376
1473,0.0007779678726952399,-0.9992220321273048
1474,0.0007775085496712908,-0.9992224914503287
1475,0.0007770498486245891,-0.9992229501513754
1476,0.0007765917682927004,-0.9992234082317073
1477,0.0007761343074166316,-0.9992238656925834
1478,0.0007756774647406095,-0.9992243225352594
1479,0.0007752212390125246,-0.9992247787609875
1480,0.000774765628983487,-0.9992252343710165
1481,0.0007743106334079375,-0.9992256893665921
1482,0.0007738562510438696,-0.9992261437489561
1483,0.0007734024806522743,-0.9992265975193477
1484,0.0007729493209979177,-0.9992270506790021
1485,0.000772496770848452,-0.9992275032291515
1486,0.0007720448289751936,-0.9992279551710248
1487,0.000771593494152456,-0.9992284065058475
1488,0.000771142765158217,-0.9992288572348418
1489,0.0007706926407733405,-0.9992293073592267
1490,0.0007702431197822435,-0.9992297568802178
1491,0.0007697942009724512,-0.9992302057990275
1492,0.0007693458831348199,-0.9992306541168652
1493,0.0007688981650633142,-0.9992311018349367
1494,0.0007684510455552296,-0.9992315489544448
1495,0.000768004523411081,-0.9992319954765889
1496,0.0007675585974346033,-0.9992324414025654
1497,0.0007671132664326397,-0.9992328867335674
1498,0.0007666685292151421,-0.9992333314707849
1499,0.0007662243845955041,-0.9992337756154045
1500,0.0007657808313901171,-0.9992342191686099
1501,0.0007653378684184808,-0.9992346621315815
1502,0.0007648954945032038,-0.9992351045054968
1503,0.0007644537084702252,-0.9992355462915298
1504,0.0007640125091483707,-0.9992359874908516
1505,0.0007635718953697967,-0.9992364281046302
1506,0.0007631318659695463,-0.9992368681340305
1507,0.000762692419785882,-0.9992373075802141
1508,0.000762253555660175,-0.9992377464443398
1509,0.0007618152724366833,-0.9992381847275633
1510,0.0007613775689628843,-0.9992386224310371
1511,0.0007609404440892531,-0.9992390595559107
1512,0.0007605038966692623,-0.9992394961033307
1513,0.0007600679255594933,-0.9992399320744405
1514,0.000759632529619636,-0.9992403674703804
1515,0.0007591977077119338,-0.9992408022922881
1516,0.000758763458702294,-0.9992412365412977
1517,0.0007583297814590662,-0.9992416702185409
1518,0.0007578966748538196,-0.9992421033251462
1519,0.0007574641377610103,-0.999242535862239
1520,0.0007570321690582027,-0.9992429678309418
1521,0.0007566007676256259,-0.9992433992323744
1522,0.0007561699323468396,-0.9992438300676532
1523,0.000755739662107846,-0.9992442603378922
1524,0.0007553099557982001,-0.9992446900442018
1525,0.0007548808123095663,-0.9992451191876904
1526,0.0007544522305371615,-0.9992455477694628
1527,0.0007540242093789784,-0.999245975790621
1528,0.0007535967477356742,-0.9992464032522643
1529,0.0007531698445107926,-0.9992468301554892
1530,0.000752743498610986,-0.999247256501389
1531,0.0007523177089455713,-0.9992476822910544
1532,0.0007518924744267519,-0.9992481075255732
1533,0.0007514677939695069,-0.9992485322060305
1534,0.000751043666491702,-0.9992489563335083
1535,0.0007506200909142002,-0.9992493799090858
1536,0.0007501970661603075,-0.9992498029338397
1537,0.0007497745911562159,-0.9992502254088438
1538,0.0007493526648312265,-0.9992506473351688
1539,0.0007489312861170827,-0.9992510687138829
1540,0.0007485104539484144,-0.9992514895460516
1541,0.0007480901672625162,-0.9992519098327375
1542,0.0007476704249996802,-0.9992523295750003
1543,0.0007472512261026409,-0.9992527487738974
1544,0.0007468325695172418,-0.9992531674304828
1545,0.0007464144541915463,-0.9992535855458085
1546,0.0007459968790768379,-0.9992540031209232
1547,0.0007455798431267313,-0.9992544201568733
1548,0.000745163345297728,-0.9992548366547023
1549,0.0007447473845491048,-0.9992552526154509
1550,0.0007443319598425813,-0.9992556680401574
1551,0.0007439170701426523,-0.9992560829298573
1552,0.0007435027144165884,-0.9992564972855834
1553,0.0007430888916342138,-0.9992569111083658
1554,0.0007426756007680169,-0.999257324399232
1555,0.0007422628407930398,-0.999257737159207
1556,0.0007418506106871003,-0.9992581493893129
1557,0.0007414389094306806,-0.9992585610905693
1558,0.0007410277360065942,-0.9992589722639934
1559,0.0007406170894005415,-0.9992593829105995
1560,0.0007402069686006651,-0.9992597930313993
1561,0.0007397973725978835,-0.9992602026274021
1562,0.0007393883003854462,-0.9992606116996146
1563,0.0007389797509592677,-0.9992610202490407
1564,0.0007385717233179268,-0.9992614282766821
1565,0.0007381642164625557,-0.9992618357835374
1566,0.0007377572293965073,-0.9992622427706035
1567,0.0007373507611262431,-0.9992626492388738
1568,0.0007369448106603338,-0.9992630551893397
1569,0.0007365393770099038,-0.9992634606229901
1570,0.000736134459188742,-0.9992638655408113
