Case Study,Sampling Strategy,Robustness,Confidence Difference
Dune,SolverBased,0.024,0.0036551725285920433
Dune,SolverBased,0.025,0.0028844713279135847
Dune,SolverBased,0.026,0.002275721114386231
Dune,SolverBased,0.027,0.0017950068158709698
Dune,SolverBased,0.028,0.0014154912789898777
Dune,SolverBased,0.029,0.0011159432477600983
Dune,SolverBased,0.03,0.0008795704198273357
Dune,SolverBased,0.031,0.0006930945736953742
Dune,SolverBased,0.032,0.0005460187271574268
Dune,SolverBased,0.033,0.00043004659479328744
Dune,SolverBased,0.034,0.000338622804287092
Dune,SolverBased,0.035,0.00026656884018727567
Dune,SolverBased,0.036,0.00020979485412320198
Dune,SolverBased,0.037,0.00016507158667666832
Dune,SolverBased,0.038,0.00012984990634701266
Dune,SolverBased,0.039,0.00010211805900883775
Dune,SolverBased,0.04,8.028877507204601e-05
Dune,SolverBased,0.041,6.311001108016967e-05
Dune,SolverBased,0.042,4.959439505192176e-05
Dune,SolverBased,0.043,3.8963469930153316e-05
Dune,SolverBased,0.044,3.0603642198312464e-05
Dune,SolverBased,0.045,2.4031386916867348e-05
Dune,SolverBased,0.046,1.8865770919473945e-05
Dune,SolverBased,0.047,1.4806760354812987e-05
Dune,SolverBased,0.048,1.1618099105770163e-05
Dune,SolverBased,0.049,9.113798293269859e-06
Dune,SolverBased,0.05,7.1474779087532525e-06
Dune,SolverBased,0.051,5.6039605675906046e-06
Dune,SolverBased,0.052,4.3926431667618004e-06
Dune,SolverBased,0.053,3.442271726661339e-06
Dune,SolverBased,0.054,2.6968234060342766e-06
Dune,SolverBased,0.055,2.112261900610868e-06
Dune,SolverBased,0.056,1.6539816342087121e-06
Dune,SolverBased,0.057,1.2947950258634933e-06
Dune,SolverBased,0.058,1.0133478377527538e-06
Dune,SolverBased,0.059,7.928718731564643e-07
Dune,SolverBased,0.06,6.202034553703939e-07
Dune,SolverBased,0.061,4.850112512722049e-07
Dune,SolverBased,0.062,3.7918894346677945e-07
Dune,SolverBased,0.063,2.9637768061974157e-07
Dune,SolverBased,0.064,2.3159066964151265e-07
Dune,SolverBased,0.065,1.809181389145209e-07
Dune,SolverBased,0.066,1.4129552561303882e-07
Dune,SolverBased,0.067,1.1032138502731215e-07
Dune,SolverBased,0.068,8.611439483718897e-08
Dune,SolverBased,0.069,6.720108836066885e-08
Dune,SolverBased,0.07,5.242773748470597e-08
Dune,SolverBased,0.071,4.089120719807937e-08
Dune,SolverBased,0.072,3.1884712536900395e-08
Dune,SolverBased,0.073,2.4855275837509794e-08
Dune,SolverBased,0.074,1.9370370307747464e-08
Dune,SolverBased,0.075,1.5091772942454895e-08
Dune,SolverBased,0.076,1.1755073581198872e-08
Dune,SolverBased,0.077,9.153621194357697e-09
Dune,SolverBased,0.078,7.125949830211198e-09
Dune,SolverBased,0.079,5.54593249102453e-09
Dune,SolverBased,0.08,4.3150727435659064e-09
Dune,SolverBased,0.081,3.356472766391505e-09
Dune,SolverBased,0.082,2.610113236656275e-09
Dune,SolverBased,0.083,2.029161172423244e-09
Dune,SolverBased,0.084,1.5770824646210713e-09
Dune,SolverBased,0.085,1.2253854597688019e-09
Dune,SolverBased,0.086,9.518559274113159e-10
Dune,SolverBased,0.087,7.391789402788618e-10
Dune,SolverBased,0.088,5.738622910200775e-10
Dune,SolverBased,0.089,4.4539472110471934e-10
Dune,SolverBased,0.09,3.455903341276212e-10
Dune,SolverBased,0.091,2.6807545072671246e-10
Dune,SolverBased,0.092,2.0788870624954825e-10
Dune,SolverBased,0.093,1.6116963319490196e-10
Dune,SolverBased,0.094,1.2491474521425516e-10
Dune,SolverBased,0.095,9.678802204149406e-11
Dune,SolverBased,0.096,7.497347187523928e-11
Dune,SolverBased,0.097,5.805911307277256e-11
Dune,SolverBased,0.098,4.4947934263461775e-11
Dune,SolverBased,0.099,3.4787728253604655e-11
Dune,SolverBased,0.1,2.6916580075919683e-11
Dune,SolverBased,0.101,2.0820345447702948e-11
