Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
BerkeleyDBC,DiversifiedDistanceBased,0.025,0.88,0.916352620789658
BerkeleyDBC,DiversifiedDistanceBased,0.026,0.88,0.924355427279247
BerkeleyDBC,DiversifiedDistanceBased,0.027,0.88,0.9315996464851302
BerkeleyDBC,DiversifiedDistanceBased,0.028,0.89,0.9381565138834471
BerkeleyDBC,DiversifiedDistanceBased,0.029,0.89,0.9440906386985503
BerkeleyDBC,DiversifiedDistanceBased,0.03,0.91,0.9494606143847321
BerkeleyDBC,DiversifiedDistanceBased,0.031,0.92,0.9543195734071039
BerkeleyDBC,DiversifiedDistanceBased,0.032,0.92,0.9587156913541482
BerkeleyDBC,DiversifiedDistanceBased,0.033,0.92,0.962692644964275
BerkeleyDBC,DiversifiedDistanceBased,0.034,0.94,0.9662900282384002
BerkeleyDBC,DiversifiedDistanceBased,0.035,0.94,0.9695437304366151
BerkeleyDBC,DiversifiedDistanceBased,0.036,0.95,0.9724862794162552
BerkeleyDBC,DiversifiedDistanceBased,0.037,0.95,0.9751471534581799
BerkeleyDBC,DiversifiedDistanceBased,0.038,0.96,0.9775530644451877
BerkeleyDBC,DiversifiedDistanceBased,0.039,0.99,0.9797282149987743
BerkeleyDBC,DiversifiedDistanceBased,0.04,0.99,0.9816945319456927
BerkeleyDBC,DiversifiedDistanceBased,0.041,1.0,0.9834718782719496
BerkeleyDBC,DiversifiedDistanceBased,0.042,1.0,0.9850782455271389
BerkeleyDBC,DiversifiedDistanceBased,0.043,1.0,0.9865299284646818
BerkeleyDBC,DiversifiedDistanceBased,0.044,1.0,0.9878416835420655
BerkeleyDBC,DiversifiedDistanceBased,0.045,1.0,0.9890268727581581
BerkeleyDBC,DiversifiedDistanceBased,0.046,1.0,0.9900975941708334
BerkeleyDBC,DiversifiedDistanceBased,0.047,1.0,0.9910648003163058
BerkeleyDBC,DiversifiedDistanceBased,0.048,1.0,0.9919384056406798
BerkeleyDBC,DiversifiedDistanceBased,0.049,1.0,0.9927273839532917
BerkeleyDBC,DiversifiedDistanceBased,0.05,1.0,0.9934398568195745
BerkeleyDBC,DiversifiedDistanceBased,0.051,1.0,0.9940831737276045
BerkeleyDBC,DiversifiedDistanceBased,0.052,1.0,0.9946639847864472
BerkeleyDBC,DiversifiedDistanceBased,0.053,1.0,0.9951883066452463
BerkeleyDBC,DiversifiedDistanceBased,0.054,1.0,0.9956615822590659
BerkeleyDBC,DiversifiedDistanceBased,0.055,1.0,0.9960887350702666
BerkeleyDBC,DiversifiedDistanceBased,0.056,1.0,0.9964742181221343
BerkeleyDBC,DiversifiedDistanceBased,0.057,1.0,0.9968220585741411
BerkeleyDBC,DiversifiedDistanceBased,0.058,1.0,0.9971358980451757
BerkeleyDBC,DiversifiedDistanceBased,0.059,1.0,0.9974190291719401
BerkeleyDBC,DiversifiedDistanceBased,0.06,1.0,0.997674428734129
BerkeleyDBC,DiversifiedDistanceBased,0.061,1.0,0.9979047876656656
BerkeleyDBC,DiversifiedDistanceBased,0.062,1.0,0.9981125382418694
BerkeleyDBC,DiversifiedDistanceBased,0.063,1.0,0.998299878705712
BerkeleyDBC,DiversifiedDistanceBased,0.064,1.0,0.9984687955720386
BerkeleyDBC,DiversifiedDistanceBased,0.065,1.0,0.9986210838265686
BerkeleyDBC,DiversifiedDistanceBased,0.066,1.0,0.9987583652164458
BerkeleyDBC,DiversifiedDistanceBased,0.067,1.0,0.9988821048108966
BerkeleyDBC,DiversifiedDistanceBased,0.068,1.0,0.9989936259940135
BerkeleyDBC,DiversifiedDistanceBased,0.069,1.0,0.9990941240366576
BerkeleyDBC,DiversifiedDistanceBased,0.07,1.0,0.999184678380826
BerkeleyDBC,DiversifiedDistanceBased,0.071,1.0,0.9992662637574423
BerkeleyDBC,DiversifiedDistanceBased,0.072,1.0,0.9993397602472743
BerkeleyDBC,DiversifiedDistanceBased,0.073,1.0,0.9994059623844682
BerkeleyDBC,DiversifiedDistanceBased,0.074,1.0,0.9994655873929181
BerkeleyDBC,DiversifiedDistanceBased,0.075,1.0,0.9995192826372674
BerkeleyDBC,DiversifiedDistanceBased,0.076,1.0,0.9995676323627031
BerkeleyDBC,DiversifiedDistanceBased,0.077,1.0,0.9996111637907665
BerkeleyDBC,DiversifiedDistanceBased,0.078,1.0,0.9996503526321164
BerkeleyDBC,DiversifiedDistanceBased,0.079,1.0,0.9996856280714662
BerkeleyDBC,DiversifiedDistanceBased,0.08,1.0,0.9997173772747436
BerkeleyDBC,DiversifiedDistanceBased,0.081,1.0,0.9997459494638187
BerkeleyDBC,DiversifiedDistanceBased,0.082,1.0,0.9997716595998852
BerkeleyDBC,DiversifiedDistanceBased,0.083,1.0,0.9997947917127175
BerkeleyDBC,DiversifiedDistanceBased,0.084,1.0,0.9998156019095154
BerkeleyDBC,DiversifiedDistanceBased,0.085,1.0,0.9998343210938773
BerkeleyDBC,DiversifiedDistanceBased,0.086,1.0,0.9998511574225536
BerkeleyDBC,DiversifiedDistanceBased,0.087,1.0,0.999866298525025
BerkeleyDBC,DiversifiedDistanceBased,0.088,1.0,0.9998799135085791
BerkeleyDBC,DiversifiedDistanceBased,0.089,1.0,0.9998921547694146
BerkeleyDBC,DiversifiedDistanceBased,0.09,1.0,0.9999031596283552
BerkeleyDBC,DiversifiedDistanceBased,0.091,1.0,0.9999130518079927
BerkeleyDBC,DiversifiedDistanceBased,0.092,1.0,0.999921942766484
BerkeleyDBC,DiversifiedDistanceBased,0.093,1.0,0.9999299329017758
BerkeleyDBC,DiversifiedDistanceBased,0.094,1.0,0.9999371126387228
BerkeleyDBC,DiversifiedDistanceBased,0.095,1.0,0.9999435634103786
BerkeleyDBC,DiversifiedDistanceBased,0.096,1.0,0.9999493585436581
BerkeleyDBC,DiversifiedDistanceBased,0.097,1.0,0.9999545640586028
BerkeleyDBC,DiversifiedDistanceBased,0.098,1.0,0.9999592393895942
BerkeleyDBC,DiversifiedDistanceBased,0.099,1.0,0.999963438036063
BerkeleyDBC,DiversifiedDistanceBased,0.1,1.0,0.9999672081495214
BerkeleyDBC,DiversifiedDistanceBased,0.101,1.0,0.999970593063087
BerkeleyDBC,DiversifiedDistanceBased,0.102,1.0,0.9999736317690785
BerkeleyDBC,DiversifiedDistanceBased,0.103,1.0,0.9999763593497271
BerkeleyDBC,DiversifiedDistanceBased,0.104,1.0,0.9999788073655594
BerkeleyDBC,DiversifiedDistanceBased,0.105,1.0,0.9999810042055743
BerkeleyDBC,DiversifiedDistanceBased,0.106,1.0,0.9999829754029312
BerkeleyDBC,DiversifiedDistanceBased,0.107,1.0,0.9999847439195196
BerkeleyDBC,DiversifiedDistanceBased,0.108,1.0,0.9999863304024413
BerkeleyDBC,DiversifiedDistanceBased,0.109,1.0,0.9999877534151563
BerkeleyDBC,DiversifiedDistanceBased,0.11,1.0,0.9999890296457664
BerkeleyDBC,DiversifiedDistanceBased,0.111,1.0,0.9999901740946796
BerkeleyDBC,DiversifiedDistanceBased,0.112,1.0,0.9999912002436734
BerkeleyDBC,DiversifiedDistanceBased,0.113,1.0,0.9999921202081854
BerkeleyDBC,DiversifiedDistanceBased,0.114,1.0,0.9999929448744784
BerkeleyDBC,DiversifiedDistanceBased,0.115,1.0,0.9999936840231665
BerkeleyDBC,DiversifiedDistanceBased,0.116,1.0,0.9999943464404468
BerkeleyDBC,DiversifiedDistanceBased,0.117,1.0,0.9999949400182483
