Case Study,Sampling Strategy,Sample Set Size,Area
Hipacc,random,50,-0.0032478974358280187
Hipacc,random,60,-0.0022949677418155168
Hipacc,random,70,-0.0018904444442539286
Hipacc,random,80,-0.0001655447151627549
Hipacc,random,90,-0.0006037681155370807
Hipacc,random,100,-0.00033674509748371967
Hipacc,random,110,-0.00030409523735586234
Hipacc,random,120,-0.0008632786875646699
Hipacc,random,130,-0.0008715757563552947
Hipacc,random,140,-0.0012357464773489044
Hipacc,random,150,-0.0006110526297040756
Hipacc,random,160,-0.0007551604915517574
Hipacc,random,170,-0.000712713175565311
Hipacc,random,180,-0.0007248278355880563
Hipacc,random,190,-0.0009583333295230383
Hipacc,random,200,-0.0007108382793842514
Hipacc,random,210,-0.0005423521961132377
Hipacc,random,220,-0.0007488288229137244
Hipacc,random,230,-0.0008376551656548882
Hipacc,random,240,-0.0008857685873619663
Hipacc,random,250,-0.0008884126897329099
Hipacc,random,260,-0.0008405394304400278
Hipacc,random,270,-0.0006421960674974489
Hipacc,random,280,-0.0005799006970255708
Hipacc,random,290,-0.0005886757855388022
Hipacc,random,300,-0.0006454083735227131
Hipacc,divDistBased,10,0.07885000000000056
Hipacc,divDistBased,20,0.04239454545454989
Hipacc,divDistBased,30,0.029243333333348318
Hipacc,divDistBased,40,0.022283523809559346
Hipacc,divDistBased,50,0.017973435897505313
Hipacc,divDistBased,60,0.014871698924851153
Hipacc,divDistBased,70,0.012648222222412738
Hipacc,divDistBased,80,0.01097912195150391
Hipacc,divDistBased,90,0.009653565217796253
Hipacc,divDistBased,100,0.008587921569182944
Hipacc,divDistBased,110,0.007733904762644138
Hipacc,divDistBased,120,0.007232054645768663
Hipacc,divDistBased,130,0.006624424243644705
Hipacc,divDistBased,140,0.006164253522651096
Hipacc,divDistBased,150,0.005708947370295924
Hipacc,divDistBased,160,0.005319506175114909
Hipacc,divDistBased,170,0.004991953491101356
Hipacc,divDistBased,180,0.004717838831078611
Hipacc,divDistBased,190,0.004431666670476961
Hipacc,divDistBased,200,0.004186495053949083
Hipacc,divDistBased,210,0.003978981137220097
Hipacc,divDistBased,220,0.003803837843752943
Hipacc,divDistBased,230,0.0036170115010117783
Hipacc,divDistBased,240,0.003448231412638034
Hipacc,divDistBased,250,0.003294253976933757
Hipacc,divDistBased,260,0.0031921272362266397
Hipacc,divDistBased,270,0.0030711372658358844
Hipacc,divDistBased,280,0.0029480993029744286
Hipacc,divDistBased,290,0.0028513242144611985
Hipacc,divDistBased,300,0.0027379249598106204
Hipacc,solverBased,10,0.07663266666666722
Hipacc,solverBased,20,0.03934187878788323
Hipacc,solverBased,30,0.025598000000014984
Hipacc,solverBased,40,0.018484857142892677
Hipacc,solverBased,50,0.014205435897505314
Hipacc,solverBased,60,0.01128569892485115
Hipacc,solverBased,70,0.009309555555746071
Hipacc,solverBased,80,0.0076651219515039126
Hipacc,solverBased,90,0.006691565217796252
Hipacc,solverBased,100,0.005700588235849614
Hipacc,solverBased,110,0.005058571429310804
Hipacc,solverBased,120,0.004644054645768663
Hipacc,solverBased,130,0.004238424243644706
Hipacc,solverBased,140,0.0040715868559844295
Hipacc,solverBased,150,0.003617614036962591
Hipacc,solverBased,160,0.0033368395084482426
Hipacc,solverBased,170,0.003061286824434689
Hipacc,solverBased,180,0.002802505497745277
Hipacc,solverBased,190,0.002602333337143628
Hipacc,solverBased,200,0.002507828387282415
Hipacc,solverBased,210,0.002364981137220095
Hipacc,solverBased,220,0.002170504510419609
Hipacc,solverBased,230,0.002014344834345111
Hipacc,solverBased,240,0.0018442314126380335
Hipacc,solverBased,250,0.0016815873102670902
